human_id;realCity_id
Q310950;Q988741
Q1970656;Q29303
Q208101;Q60
Q208101;Q628201
Q310379;Q990504
Q102108;Q84
Q82925;Q158799
Q190220;Q130191
Q207515;Q213465
Q19878;Q68301
Q294625;Q63495
Q154014;Q1533662
Q93354;Q28848
Q366575;Q36091
Q313460;Q1449
Q36591;Q656
Q49074;Q6346
Q310111;Q23064
Q71501;Q1792
Q78494;Q1781
Q313289;Q655874
Q155112;Q565978
Q43746;Q159498
Q235014;Q84
Q49081;Q72259
Q5816;Q838542
Q2408506;Q24826
Q465028;Q1715
Q5686;Q1803681
Q720306;Q23154
Q123273;Q72
Q1476635;Q1020
Q3754645;Q39042
Q9191;Q320299
Q34743;Q1156
Q864708;Q43684
Q465179;Q24861
Q134461;Q1218
Q238124;Q18094
Q3185943;Q6454
Q295431;Q83065
Q2648050;Q1754
Q76632;Q16085
Q905;Q1085
Q258662;Q146702
Q235291;Q427265
Q9438;Q117211
Q167856;Q1550922
Q83566;Q2868
Q364189;Q37836
Q317142;Q432337
Q793895;Q586762
Q2344235;Q340
Q274848;Q128114
Q467581;Q991840
Q1882308;Q497130
Q215665;Q1764
Q11999223;Q10686
Q13427383;Q1211
Q316327;Q200459
Q711830;Q5465
Q1384905;Q26600
Q1381;Q486229
Q132805;Q503331
Q34670;Q1924629
Q44272;Q6616
Q1240177;Q982550
Q273034;Q3338975
Q11758;Q761
Q11625307;Q122723
Q81731;Q34600
Q314771;Q18419
Q314771;Q60
Q170509;Q60
Q588653;Q37320
Q1894524;Q90
Q43293;Q5465
Q9215;Q654019
Q34474;Q153676
Q1230809;Q3130
Q180589;Q60
Q47484;Q90
Q2517956;Q13353
Q378807;Q988100
Q506120;Q48335
Q264283;Q1297
Q967307;Q1761
Q28170;Q60
Q9711;Q288
Q3179715;Q597
Q2992962;Q7517380
Q131333;Q175632
Q42511;Q208201
Q44520;Q2406502
Q909;Q1486
Q316802;Q3130
Q9364;Q90
Q54828;Q4827
Q913061;Q1086351
Q1048;Q220
Q34660;Q1025095
Q235308;Q1761
Q228624;Q33486
Q217619;Q18125
Q12881;Q8678
Q215263;Q100
Q312829;Q23092
Q33760;Q3057926
Q131169;Q823721
Q102012;Q1733
Q2271800;Q1646181
Q234908;Q131290
Q477210;Q174
Q3785606;Q61
Q47087;Q1020217
Q40640;Q578289
Q15948;Q173695
Q77447;Q3967
Q615960;Q174691
Q82104;Q84
Q7243;Q749556
Q290374;Q2273431
Q1777502;Q42622
Q152690;Q659895
Q229226;Q84
Q229226;Q743535
Q310800;Q6106
Q182870;Q60
Q234030;Q38022
Q2606624;Q60
Q128790;Q3992
Q81447;Q909146
Q948301;Q23306
Q443109;Q427559
Q63193;Q516405
Q9358;Q529879
Q329937;Q18419
Q446605;Q84
Q469435;Q60
Q155855;Q1818270
Q1064;Q490
Q358312;Q79875
Q15784;Q956083
Q215665;Q1764
Q185548;Q585
Q76529;Q245579
Q449085;Q1615791
Q365955;Q1764
Q81438;Q18438
Q621458;Q84
Q28147;Q3038
Q184440;Q460750
Q312532;Q202628
Q352;Q131128
Q352;Q360607
Q466048;Q13364
Q366205;Q13678
Q635;Q87
Q172916;Q597
Q1374807;Q84
Q41166;Q1761
Q355903;Q159856
Q60059;Q572921
Q48305;Q202422
Q297776;Q219525
Q267733;Q1524
Q8011;Q4072887
Q8011;Q5764
Q868;Q846127
Q154723;Q1741
Q40662;Q16000109
Q39837;Q5818
Q313817;Q23106
Q549041;Q91185
Q706003;Q13375
Q9438;Q117211
Q230314;Q12630
Q2755054;Q111942
Q160441;Q1720
Q302;Q5776
Q1048;Q220
Q4344;Q471581
Q8058;Q132404
Q676555;Q20103
Q207370;Q220
Q5082131;Q84
Q6197;Q52691
Q130221;Q13144
Q41866;Q2232673
Q170335;Q2656
Q859;Q844930
Q36724;Q18869
Q7326;Q668384
Q1541;Q116440
Q457881;Q84
Q366070;Q192761
Q297050;Q13695
Q670332;Q208407
Q297285;Q81631
Q315628;Q13695
Q166876;Q162615
Q1413;Q16010710
Q83041;Q536598
Q26702;Q90
Q111559;Q165867
Q44265;Q20494
Q5494534;Q84
Q913;Q2839314
Q315347;Q6046
Q43746;Q159498
Q6691;Q1379299
Q151209;Q8356
Q152717;Q163795
Q76721;Q81997
Q165479;Q185103
Q2521377;Q2044
Q154938;Q107299
Q41980;Q188615
Q317554;Q164092
Q3860377;Q490
Q737533;Q182872
Q560015;Q238803
Q5254;Q23482
Q188646;Q5818
Q2442652;Q3042
Q102851;Q220
Q262513;Q215530
Q332750;Q4420718
Q426862;Q13367
Q1707785;Q27
Q9200;Q134287
Q188411;Q7003
Q7198;Q50157
Q131691;Q1761
Q141791;Q13695
Q8778;Q18986
Q8409;Q213679
Q131463;Q199160
Q131463;Q187654
Q230716;Q43332
Q33923;Q501773
Q81506;Q2014458
Q317436;Q182591
Q47180;Q15141121
Q223440;Q1747689
Q243811;Q1720
Q83375;Q13678
Q243203;Q2634
Q310686;Q1524
Q41155;Q47611
Q134646;Q116404
Q118081;Q278199
Q43600;Q801
Q5078521;Q84
Q43939;Q3367
Q785250;Q5489
Q172248;Q220
Q1425;Q658893
Q203792;Q474453
Q438615;Q90
Q244912;Q1218
Q583275;Q2721859
Q665165;Q42945
Q983349;Q1664345
Q199991;Q53858
Q172353;Q11266977
Q315795;Q693913
Q1927217;Q1134428
Q359237;Q2634
Q9458;Q5806
Q2054;Q5818
Q8581;Q165444
Q8018;Q1324444
Q311456;Q83247
Q258369;Q13364
Q5264;Q187027
Q2721219;Q2044
Q41370;Q5776
Q1398;Q15710617
Q34943;Q1145715
Q170859;Q220
Q1093574;Q283034
Q316876;Q2044
Q448586;Q6046
Q1419;Q927670
Q366270;Q1891
Q132786;Q220
Q519984;Q1297
Q232913;Q2044
Q43706;Q200441
Q36303;Q169460
Q367387;Q2656
Q1067;Q2044
Q17131;Q1284
Q1494309;Q208793
Q59180;Q599416
Q1349297;Q37320
Q3808603;Q679952
Q467066;Q1345
Q296809;Q1781
Q570810;Q1781
Q368224;Q16553
Q1539179;Q161962
Q358188;Q1530761
Q443681;Q1183392
Q298685;Q49158
Q5879;Q1794
Q237087;Q90
Q922071;Q60
Q236384;Q158004
Q749714;Q642900
Q60851;Q1726
Q740373;Q7352
Q61629;Q1055
Q713775;Q185075
Q125231;Q2090
Q44003;Q210205
Q76480;Q2843
Q435032;Q1187817
Q510621;Q2634
Q468247;Q1558
Q232417;Q42448
Q179109;Q3667188
Q568497;Q41185
Q428755;Q172
Q350404;Q65
Q706272;Q48278
Q444534;Q83786
Q216398;Q41262
Q298221;Q1297
Q216811;Q128147
Q40874;Q180078
Q173481;Q597
Q128560;Q19784
Q465237;Q61
Q2161;Q26897
Q345612;Q60
Q240515;Q28198
Q954370;Q90
Q76324;Q586
Q723468;Q693913
Q38193;Q1792
Q703503;Q2656
Q5951723;Q2561339
Q467464;Q1764
Q561213;Q1842
Q264766;Q208262
Q468394;Q1218
Q132345;Q390812
Q927550;Q3130
Q4911497;Q11299
Q983514;Q9248
Q17146774;Q490
Q15976266;Q72719
Q6756538;Q8678
Q4779594;Q1492
Q7176020;Q219117
Q50365049;Q1110037
Q318508;Q1962453
Q2641759;Q1718
Q43723;Q33935
Q179502;Q105060
Q1148719;Q2634
Q30745227;Q1449
Q23766020;Q220
Q19592761;Q2807
Q59155;Q1772825
Q17320405;Q3111445
Q18104657;Q1780
Q312015;Q1524
Q334155;Q3495316
Q4014539;Q58894
Q2885098;Q46940
Q111840;Q23051
Q241750;Q5083
Q1728820;Q1049641
