book_id;followed_book_id
Q2539685;Q2001010
Q477831;Q485093
Q16835895;Q16824659
Q3009892;Q16385319
Q16672423;Q7739067
Q7746944;Q3796106
Q3771675;Q3771674
Q550208;Q744687
Q3647735;Q3870407
Q3324572;Q3549724
Q6827852;Q5221028
Q183565;Q1327411
Q168309;Q1213472
Q2402215;Q2122521
Q10406445;Q10683884
Q537242;Q10288350
Q3234969;Q2091094
Q5373863;Q5162401
Q302026;Q7741197
Q10683890;Q10671758
Q21294929;Q2402215
Q7719106;Q16957945
Q143707;Q472291
Q966572;Q143707
Q2780600;Q1951956
Q25930444;Q16385359
Q2187339;Q13922875
Q3557788;Q3557789
Q3649294;Q3679057
Q3227340;Q3224909
Q5189796;Q16209219
Q21295080;Q20723173
Q5221028;Q7738912
Q1170644;Q2849572
Q1065473;Q3210036
Q3870407;Q5065295
Q17019316;Q18351785
Q16385059;Q17141859
Q4660596;Q7439250
Q2603313;Q2719299
Q1736859;Q499564
Q3342544;Q3201517
Q938629;Q753894
Q6684488;Q5046972
Q1824440;Q2375589
Q783533;Q938629
Q3795210;Q305431
Q17031545;Q16385059
Q7305089;Q5683057
Q3036362;Q2178946
Q2433594;Q5465909
Q2679235;Q19952366
Q2602658;Q2539685
Q10683883;Q10683890
Q3223668;Q3212636
Q5247740;Q16257203
Q5327216;Q5327194
Q10428763;Q10428755
Q2653468;Q3126837
Q2909582;Q3912978
Q2070380;Q2288175
Q2024347;Q3213554
Q10428812;Q10428761
Q472222;Q559330
Q1192756;Q1121567
Q902712;Q1199348
Q2013714;Q14517743
Q654055;Q168309
Q2201900;Q21294942
Q5970435;Q5970437
Q10493928;Q18288021
Q939223;Q2133248
Q3224473;Q3030638
Q2295976;Q2319431
Q18289391;Q18289389
Q25921512;Q47411206
Q743764;Q1539045
Q4029161;Q3249846
Q11678;Q837140
Q3549724;Q3224473
Q7430444;Q6412298
Q2531302;Q2086761
Q2719299;Q18366291
Q662435;Q743764
Q15035777;Q8563826
Q3107329;Q578895
Q5247483;Q16861729
Q21294948;Q21294949
Q1193400;Q1918304
Q1213684;Q1216126
Q978723;Q1997545
Q3980601;Q1807387
Q6029482;Q4656261
Q1138346;Q1165442
Q3299530;Q2609313
Q3794950;Q7460726
Q2681330;Q2183823
Q582216;Q5532599
Q5446066;Q4660596
Q7746428;Q7713593
Q2288175;Q2261855
Q21293865;Q21293869
Q1771810;Q2070380
Q2610567;Q1754235
Q17040582;Q8036762
Q1327411;Q1306869
Q2502043;Q971280
Q2479243;Q3818564
Q212473;Q53945
Q4657602;Q4762159
Q10698889;Q10477510
Q43361;Q47209
Q10477510;Q19692429
Q2849572;Q3005476
Q7173181;Q5435715
Q10683887;Q10510725
Q923416;Q768454
Q3941809;Q3649294
Q1147949;Q5376798
Q7883426;Q7766603
Q17989172;Q18003141
Q2195511;Q2183834
Q16155063;Q53317298
Q3208727;Q3213896
Q17027883;Q17031545
Q5944792;Q4355650
Q7279463;Q7775348
Q3231700;Q3205177
Q18636852;Q18636855
Q3310874;Q2020764
Q16385620;Q7775390
Q10683876;Q10670935
Q3344967;Q3227340
Q3045043;Q7719430
Q1539045;Q1171038
Q2356878;Q1277076
Q1841196;Q2171394
Q5970433;Q5970435
Q19692429;Q10683891
Q7969211;Q16843305
Q3212909;Q2857581
Q2635106;Q2389340
Q1055141;Q2258908
Q1060935;Q3207685
Q2335394;Q2028994
Q1607821;Q7763820
Q2638897;Q2181693
Q3211487;Q2515117
Q3221442;Q3224003
Q1052905;Q1052981
Q157360;Q218950
Q3828703;Q4003967
Q2915310;Q2915295
Q7460805;Q7460785
Q2017697;Q3208972
Q7763465;Q16931447
Q2892898;Q18516245
Q3796106;Q3793747
Q3224969;Q3234969
Q1446938;Q1755607
Q187655;Q936532
Q15470641;Q7756640
Q2674568;Q2440431
Q18393840;Q25921512
Q662029;Q2384854
Q1143215;Q602216
Q2091094;Q2659725
Q2713597;Q2053098
Q1364469;Q3231937
Q2735144;Q3036362
Q3822692;Q3794981
Q17041125;Q17062225
Q10428818;Q10428812
Q300370;Q431927
Q1122549;Q1193083
Q3145084;Q3151488
Q17001721;Q17989172
Q2178946;Q2697201
Q2008211;Q2623688
Q4608390;Q3275785
Q10428757;Q10428746
Q15035025;Q18289391
Q7776778;Q6302760
Q1214221;Q649015
Q4996792;Q53316031
Q501514;Q901384
Q2294286;Q13812332
