human_id;occupation
Q1294115;writer
Q15072522;translator
Q15072522;poet
Q584292;literary critic
Q71467;linguist
Q71467;writer
Q71467;translator
Q71467;literary critic
Q3037160;translator
Q3037160;novelist
Q3037160;writer
Q2712746;orientalist
Q2712746;poet
Q23296908;author
Q3156735;writer
Q3156735;translator
Q1903409;chess player
Q1903409;translator
Q203952;writer
Q203952;journalist
Q203952;aphorist
Q203952;poet
Q203952;translator
Q2834417;art collector
Q334973;cleric
Q334973;writer
Q18036076;translator
Q286107;politician
Q286107;writer
Q17778060;theologian
Q17778060;writer
Q17778060;translator
Q17778060;editor
Q584292;impresario
Q584292;translator
Q584292;journalist
Q584292;writer
Q152513;translator
Q152513;poet
Q152513;novelist
Q152513;professor
Q152513;writer
Q9066286;writer
Q9066286;translator
Q14624870;translator
Q16964476;writer
Q16964476;translator
Q4391279;professor
Q4391279;scientist
Q4391279;mathematician
Q4391279;pedagogue
Q59188;linguist
Q59188;librarian
Q59188;philosopher
Q203952;French moralist
Q332780;author
Q332780;translator
Q332780;writer
Q2834417;art historian
Q64395;botanist
Q44248;priest
Q44248;theologian
Q44248;historian
Q286107;lexicographer
Q286107;linguist
Q14624853;translator
Q5659344;philologist
Q5659344;translator
Q17778060;literary historian
Q203952;pamphleteer
Q3616238;poet
Q18117918;translator
Q18117918;writer
Q2834417;diplomat
Q2834417;historian
Q2834417;translator
Q64395;paleontologist
Q64395;university teacher
Q64395;geologist
Q473257;linguist
Q473257;poet
Q473257;translator
Q473257;teacher
Q473257;journalist
Q473257;writer
Q473257;literary critic
Q286107;medical historian
Q286107;philosopher
Q286107;translator
Q44248;apologist
Q18197843;translator
Q3616238;diplomat
Q3616238;translator
Q44248;Bible translator
Q6251314;linguist
Q6251314;writer
Q6251314;translator
Q44248;anchorite
Q44248;translator
Q59180;philosopher
Q5239704;politician
Q207370;politician
Q207370;military personnel
Q83375;physician
Q83375;philosopher
Q83375;writer
Q83375;poet
Q317436;politician
Q34943;mathematician
Q34943;geographer
Q34943;astronomer
Q34943;astrologer
Q34943;music theorist
Q34943;philosopher
Q34943;writer
Q34943;musicologist
Q41166;poet
Q41166;novelist
Q302;preacher
Q302;prophet
Q8018;philosopher
Q131691;politician
Q134646;cleric
Q34943;epigrammatist
Q223440;politician
Q223440;military personnel
Q258369;monk
Q549041;jurist
Q170859;cleric
Q913;philosopher
Q4344;troubadour
Q4344;poet
Q4344;writer
Q9458;merchant
Q9458;politician
Q9458;prophet
Q9458;rasul
Q9458;preacher
Q207535;knight
Q41166;satirist
Q41166;philosopher
Q302;carpenter
Q134646;Catholic priest
Q131691;diplomat
Q131691;military officer
Q41980;philosopher
Q41980;mathematician
Q8018;theologian
Q8018;writer
Q8018;autobiographer
Q8018;music theorist
Q8018;preacher
Q8018;historian
Q111559;Kohen
Q18880357;editor
Q1416892;librarian
Q165479;cleric
Q165479;Catholic priest
Q258369;diplomat
Q258369;Catholic priest
Q258369;philosopher
Q4344;composer
Q7198;poet
Q7198;writer
Q170859;Catholic priest
Q41166;human rights activist
Q302;rabbi
Q44265;monk
Q39837;philosopher
Q39837;physician
Q39837;mathematician
Q39837;astronomer
Q188646;poet
Q188646;historian
Q188646;writer
Q36303;mathematician
Q36303;philosopher
Q36303;astronomer
Q36303;physicist
Q36303;engineer
Q43939;philosopher
Q43939;theologian
Q33923;priest
Q7198;mythographer
Q165479;farmer
Q302;curandero
Q41166;pamphleteer
Q41166;priest
Q41166;writer
Q41166;science fiction writer
Q41166;essayist
Q41166;prose
Q635;politician
Q41866;legislator
Q8581;Sultan of Egypt
Q267733;hetaera
Q2442652;lithographer
Q2442652;painter
Q2442652;illustrator
Q1425;statesperson
Q1425;politician
Q1425;military personnel
Q39837;judge
Q199991;theologian
Q199991;writer
Q199991;philosopher
Q160441;theologian
Q160441;writer
Q160441;philosopher
Q160441;Catholic priest
Q160441;entomologist
Q43939;priest
