language_id;book_id
Q37041;Q18990
Q1860;Q132062
Q1860;Q300467
Q1860;Q373413
Q1860;Q388200
Q188;Q73580
Q1860;Q20124
Q1860;Q132269
Q1860;Q232139
Q1860;Q300515
Q37041;Q207062
Q1860;Q73588
Q9056;Q373479
Q1860;Q133740
Q1860;Q389083
Q188;Q207332
Q1860;Q73706
Q397;Q22765
Q1860;Q232153
Q1860;Q373601
Q397;Q134221
Q652;Q389166
Q1860;Q23163
Q1860;Q207964
Q1860;Q233562
Q1860;Q300588
Q652;Q389380
Q188;Q208283
Q1860;Q135165
Q1860;Q74263
Q1860;Q235193
Q1860;Q373760
Q1860;Q389750
Q1860;Q208460
Q1860;Q135215
Q1860;Q24323
Q1860;Q374098
Q1860;Q74287
Q1860;Q390030
Q1860;Q135515
Q150;Q24402
Q1860;Q301517
Q1860;Q374204
Q1860;Q208461
Q9192;Q390176
Q9027;Q301800
Q1860;Q24555
Q1860;Q238652
Q1860;Q375206
Q397;Q208556
Q5287;Q74300
Q1860;Q74335
Q1860;Q302026
Q1860;Q24596
Q1860;Q239725
Q1321;Q208571
Q1860;Q137322
Q1860;Q302158
Q1860;Q74362
Q188;Q376235
Q1860;Q137332
Q5146;Q137332
Q1860;Q74378
Q1860;Q208808
Q1860;Q74480
Q1860;Q137536
Q1860;Q25551
Q1860;Q377230
Q1860;Q74483
Q1860;Q137629
Q5146;Q137629
Q188;Q25555
Q1860;Q208911
Q397;Q75561
Q150;Q137869
Q1321;Q209632
Q7737;Q75840
Q1860;Q25750
Q1860;Q137969
Q150;Q210113
Q1860;Q79762
Q1860;Q138046
Q1860;Q26085
Q1860;Q80771
Q7737;Q26193
Q7979;Q80817
Q1860;Q80817
Q1860;Q138743
Q1860;Q81007
Q9056;Q138746
Q1860;Q81316
Q1860;Q26505
Q5146;Q139879
Q1860;Q26541
Q5146;Q139894
Q7737;Q27321
Q5146;Q139957
Q1860;Q27331
Q5146;Q140000
