human_id;occupation
Q9458;preacher
Q1425;statesperson
Q1425;politician
Q1425;military personnel
Q41166;poet
Q41166;novelist
Q41166;satirist
Q41166;philosopher
Q41166;human rights activist
Q41166;pamphleteer
Q41166;priest
Q41166;writer
Q41166;science fiction writer
Q41166;essayist
Q41166;prose
Q41166;opinion journalism
Q2721219;politician
Q41980;philosopher
Q41980;mathematician
Q2755054;condottiero
Q2755054;politician
Q60059;chemist
Q60059;priest
Q60059;musicologist
Q60059;philosopher
Q60059;writer
Q60059;music theorist
Q60059;professor
Q60059;economist
Q60059;astrologer
Q60059;entomologist
Q60059;theologian
Q60059;scientist
Q60059;religious
Q60059;monk
Q41866;legislator
Q81018;economist
Q451516;politician
Q451516;military personnel
Q48305;tragedy writer
Q258369;monk
Q258369;diplomat
Q258369;Catholic priest
Q258369;philosopher
Q1067;politician
Q1067;philosopher
Q1067;political theorist
Q1067;lyricist
Q1067;prosaist
Q1067;intellectual
Q1067;poet
Q4344;troubadour
Q4344;poet
Q4344;writer
Q4344;composer
Q243203;poet
Q243203;writer
Q355903;philosopher
Q118081;cleric
Q118081;Catholic priest
Q102851;philosopher
Q102851;statesperson
Q102851;writer
Q102851;musicologist
Q102851;music theorist
Q102851;politician
Q102851;mathematician
Q170335;queen consort
Q18880357;editor
Q5264;physician
Q5264;philosopher
Q5264;writer
Q1416892;librarian
Q43706;theologian
Q43706;priest
Q43706;writer
Q33923;priest
Q1398;poet
Q134646;cleric
Q134646;Catholic priest
Q706003;politician
Q706003;soldier
Q315347;philosopher
Q315347;Catholic priest
Q315347;theologian
Q132786;cleric
Q132786;Catholic priest
Q1927217;teacher
Q41370;herder
Q41370;sovereign
Q41370;singer
Q41370;prophet
Q41370;politician
Q41370;judge
Q41370;poet
Q41370;farmer
Q6197;poet
Q6197;writer
Q83375;physician
Q83375;philosopher
Q83375;writer
Q83375;poet
Q8011;philosopher
Q8011;scientist
Q8011;poet
Q8011;astronomer
Q8011;physician
Q8011;music theorist
Q8011;physicist
Q8011;mathematician
Q8011;chemist
Q8011;ethicist
Q8011;faqih
Q223440;politician
Q223440;military personnel
Q665165;troubadour
Q665165;poet
Q665165;composer
Q5239704;politician
Q267733;hetaera
Q466048;poet
Q2521377;Catholic priest
Q913;philosopher
Q172353;politician
Q172353;military personnel
Q366270;poet
Q366270;writer
Q207370;politician
Q207370;military personnel
Q111559;Kohen
Q166876;writer
Q166876;musicologist
Q166876;philosopher
Q166876;music theorist
Q166876;cleric
Q166876;Catholic priest
Q166876;historian
Q39837;philosopher
Q39837;physician
Q39837;mathematician
Q39837;astronomer
Q39837;judge
Q366070;poet
Q366070;painter
Q366070;writer
Q366070;journalist
Q36303;mathematician
Q36303;philosopher
Q36303;astronomer
Q36303;physicist
Q36303;engineer
Q8778;physician writer
Q8778;surgeon
Q1133523;judge
Q317436;politician
Q188646;poet
Q188646;historian
Q188646;writer
Q172248;politician
Q172248;philosopher
Q172248;military personnel
Q170859;cleric
Q170859;Catholic priest
Q9438;philosopher
Q9438;writer
Q9438;theologian
Q9438;friar
Q9438;professor
Q9438;Catholic priest
Q59180;philosopher
Q8018;philosopher
Q8018;theologian
Q8018;writer
Q8018;autobiographer
Q8018;music theorist
Q8018;preacher
Q8018;historian
Q1541;philosopher
Q1541;politician
Q1541;poet
Q1541;political theorist
Q1541;jurist
Q1541;orator
Q1541;writer
Q1541;lawyer
Q1541;military personnel
Q34943;mathematician
Q34943;geographer
Q34943;astronomer
Q34943;astrologer
Q34943;music theorist
Q34943;philosopher
Q34943;writer
Q34943;musicologist
Q34943;epigrammatist
Q234533;writer
Q247137;writer
Q43746;philosopher
Q43746;writer
Q43746;theologian
Q43746;Catholic priest
Q43746;religious
Q43939;philosopher
Q43939;theologian
Q43939;priest
Q43939;cleric
Q43939;monk
Q154938;monk
Q154938;hagiographer
Q154938;poet
Q154938;church historian
Q154938;translator
Q154938;theologian
Q154938;writer
Q154938;Bible translator
Q154938;historian
Q359237;politician
Q152717;priest
Q152717;cleric
Q448586;preacher
Q41155;philosopher
Q41155;writer
Q207535;knight
Q549041;jurist
Q317554;theologian
Q317554;philosopher
Q317554;writer
Q15976266;politician
Q6756538;politician
Q1728820;politician
Q1728820;physician
Q23766020;politician
Q23766020;lawyer
Q1148719;politician
Q1148719;lawyer
Q312015;politician
Q312015;civil engineer
Q312015;engineer
Q2885098;politician
Q4014539;politician
Q703503;politician
Q703503;lawyer
Q703503;university teacher
Q703503;writer
Q468394;politician
Q468394;entrepreneur
Q468394;businessperson
Q334155;politician
Q334155;lawyer
Q983514;politician
Q2641759;politician
Q2641759;judge
Q17146774;manager
Q17146774;politician
Q18104657;politician
Q19592761;judge
Q19592761;politician
Q19592761;writer
Q19592761;lawyer
Q4911497;politician
Q4911497;lawyer
