founder_id,publisher_id
iption;inception;id
Q3374730;Penguin Group;trade book publisher, part of Penguin Random House, owned by Pearson plc;1935;
Q5884586;Holt McDougal;American publisher, mainly textbooks;;
Q921536;Viking Press;publisher;1925;
Q2619904;Archibald Constable;Scottish printer and publisher;;132681765
Q19577155;The Russian Messenger;Russian magazine (1856—1906);1856;
Q95145;Allen & Unwin;Australian publishing company;1914;7701946-5
Q95149;HarperCollins;American publishing house;1990;4475605-7
Q536795;Ace Books;oldest active specialty publisher of science fiction and fantasy books;1952;
Q2045104;;;1949;1065133952
Q5147368;Collins Crime Club;;1930;
Q1529971;Blackwood's Magazine;British magazine;1817;
Q6483671;Lancer Books;;1961;
Q7190491;Picador;British publishing house;1972;
Q4034881;Basic Books;American book publisher;1952;
Q6724738;Macmillan Publishers;American publishing company;1869;
Q726081;Kodansha;Japanese publishing company;1909;7585341-3
Q390074;Houghton Mifflin Harcourt;publisher;1880;
Q1479654;John Wiley & Sons;publishing company;1807;4101395-5
Q3367355;Pascal Covici;American publisher;;
Q2646621;Roc Books;;2002;
Q1587900;Harvard University Press;American university publishing house;1913;10187827-8
Q5287721;Dodd, Mead and Company;american publishing house;1839;
Q6770117;Mark V. Ziesing;;;
Q95149;HarperCollins;American publishing house;1990;4475605-7
Q301609;Suhrkamp Verlag;German publishing house;1950;300755-8
Q8015856;William Morrow and Company;publisher;1926;
Q2696397;Éditions Robert Laffont;;1941;
Q4857180;Bantam Press;organization;;
Q921536;Viking Press;publisher;1925;
Q1587900;Harvard University Press;American university publishing house;1913;10187827-8
Q921536;Viking Press;publisher;1925;
Q1251563;Doubleday;American publishing company;1897;1086221443
Q3127696;Harper;American publishing company;1817;
Q587270;Games Workshop;company;1975;
Q2647037;Tor Books;book publisher of the United States;1980;
Q898097;Faber and Faber;British publishing house;1929;7677476-4
Q3777164;Grove Press;;1951;
Q186225;Mercure de France;French publishing house;1890;
Q921536;Viking Press;publisher;1925;
Q2108217;Macmillan Publishers;British publishing company;1843;16282130-X
Q767319;Wiley-Blackwell;international scientific, technical, medical, and scholarly publishing business of John Wiley & Sons;2001;
Q3277534;Jonathan Cape;British publisher;1921;
Q921536;Viking Press;publisher;1925;
Q2075464;Dell Publishing;American publisher of books, magazines and comic books;1921;
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q378809;Hutchinson;British book and magazine publisher, 1887 to 1985;1887;
Q799732;Baen Books;publisher;1983;
Q646071;Rowohlt Verlag;German publishing house;1908;2020049-3
Q5677798;Harvill Secker;British publishing company;1936;
Q7291941;Random House of Canada;;1944;
Q3355196;Orbit Books;international publisher that specialises in science fiction and fantasy books;1974;
Q898097;Faber and Faber;British publishing house;1929;7677476-4
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q845617;Charles Scribner's Sons;American publisher;1846;4309095-3
