city_id;city_label;city_description;realCity_area;realCity_population
Q169460;Miletus;ancient Greek city;;
Q13395;Viterbo;Italian comune;406.28;67420
Q23556;Atlanta;city in Dekalb County and Fulton County, Georgia, USA, county seat city in Fulton County and Georgia federated state capital city;347.996293;447841
Q8678;Rio de Janeiro;capital city of the state of Rio de Janeiro, Brazil;1260029215;5857904
Q3042;Offenbach am Main;city in Hesse, Germany;44.90;119203
Q599416;Sinop;city in Turkey;;57399
Q501773;Bethsaida;single entity of population;;
Q2035368;Tremadog;village in Wales;;
Q8646;Hong Kong;Special Administrative Region of China;1105.69;7071576
Q3367;Aosta;Italian comune;21;34324
Q18419;Brooklyn;borough of New York City, New York, United States;251;2504700
Q278199;Sant'Angelo Limosano;Italian comune;16.87;348
Q506446;Rancho Mirage;City in Riverside County, California;65.244957;17218
Q72259;Portsmouth;city in Hampshire, England;40250000;200000
Q91119;Buonconvento;Italian comune;64.84;3127
Q6366688;Kapiolani Medical Center for Women and Children;hospital;;
Q23157;Somerset;ceremonial county of England (use Q21694741 for administrative non-metropolitan county);4171;940200
Q47611;Ephesus;ancient city in Anatolia;;
Q117211;Roccasecca;Italian comune;43.33;7409
Q1479;Bordeaux;commune in Gironde, France;49.36;246586
Q245579;Burscheid;city in Germany;27.38;
Q165444;Tikrit;city in Salahadin province of Iraq;;260000
Q838542;Shaoshan;county-level city;247.3;
Q11266977;Epirus;;;
Q460750;Itabuna;municipality of Brazil;432.244;196675
Q956;Beijing;capital city of China since 1949;16410.540;21516000
Q322376;Roquemaure;commune in Gard, France;26.22;5458
Q52981;Faenza;Italian city and comune, in the province of Ravenna, Emilia-Romagna;216;58541
Q182591;County Wicklow;county in Ireland;2027.0;142332
Q755403;Litchfield;town in Connecticut, United States;56.8;8466
Q162615;Cartagena;port city in southeast Spain;558080000;217641
Q16555;Houston;county seat of Harris County, Texas; fourth largest city in the United States by population;1724.544507;2195914
Q83247;Braga;municipality and city in Portugal;183.4;137000
Q1764;Reykjavík;capital and largest city in Iceland;274538739;124800
Q2807;Madrid;capital city of Spain;60445.51;3207247
Q1486;Buenos Aires;capital city of Argentina;203.3;2890151
Q53935;Pietrafitta;Italian comune;9.24;1277
Q1615791;Whitefield;town in the Metropolitan Borough of Bury, Greater Manchester, England;;
Q84;London;capital of England and the United Kingdom;1572;8787892
Q13678;Agrigento;Italian comune;245.32;59010
Q4252369;Bovington Camp;British Army military base in Dorset, England;;
Q23482;Marseille;commune in Bouches-du-Rhône, the second largest city of France;240.62;855393
Q548806;Vailima, Samoa;human settlement;;
Q9005;Brussels;metropolitan area of Brussels, in Belgium;161;1175000
Q350;Cambridge;city in Cambridgeshire, England;40.7;123867
Q658893;Italica;ancient city;;
Q334051;Abbey of Monte Cassino;abbey;;
Q379652;Philippi;ancient city  in eastern Macedonia, in the Edonis region;;
Q170516;Calvary;geographic location;;
Q13367;Forlì;Italian comune;228.2;118652
Q1324444;Thagaste;ancient city;;
Q1731;Dresden;capital city of the Free State of Saxony in Germany;328.31;531982
Q170062;Pannonia;ancient province of the Roman Empire;;
Q5684;Babylon;Akkadian city-state;;
Q912068;Wu;ancient state in China, during the Western Zhou Dynasty and the Spring and Autumn Period;;
Q128114;Yonkers;city in Westchester County, New York, United States;52.56768;195976
Q597;Lisbon;capital city of Portugal;100.05;545245
Q13144;Iesi;Italian comune;107.73;40318
Q927776;Råshult;human settlement;;
Q49201;Portland;county seat of Cumberland County, Maine, United States;179.85166;66937
Q111942;San Leo;Italian comune;53.14;2935
Q3038;Heligoland;municipality in Schleswig-Holstein, Germany;1.7;1400
Q647070;Clairvaux Abbey;abbey located in Aube, in France;;
Q2839314;Alopeke;ancient Athenian deme;;
Q1496198;Uttlesford;local government district in Essex, England;;85100
Q585;Oslo;capital city and county in Norway;480.76;634463
Q3640;Ankara;capital of Turkey;24521;5270575
Q128246;Silva Arsia;former forest near Rome, Italy;;
Q213679;Pella;capital of the ancient kingdom of Macedon;114;
Q2232673;Tauresium;archaeological site in Illyria, East Roman Empire;;
Q100;Boston;capital of Massachusetts, United States;232140634;655884
Q184116;Gary;city in Lake County, Indiana, United States;148.173129;80294
Q180871;Compiègne;commune in Oise, France;53.1;40430
Q1496664;Mitchelstown;town in County Cork, Ireland;2.83;
Q547910;Stabiae;human settlement;;
Q6046;Novara;Italian comune;103.05;104471
Q1530;Baghdad;capital city of Iraq;204200000;5402000
Q427265;Yibin;prefecture-level city in Sichuan, China;13283;4456000
Q5489;Troyes;commune in Aube, France;13.2;60750
Q20494;Norcia;Italian comune;275.58;4981
Q71;Geneva;city in Switzerland and capital of its canton;45.86195177;195393
Q2634;Naples;city in Campania, Italy;117.27;975260
Q91185;Chiusi;Italian comune;58.15;8614
Q5764;Bukhara;city in Bukhara Province of Uzbekistan;39.4;263400
Q917891;Roncesvalles;municipality of Spain;15.1;26
Q138367;Camden;city in Camden County, New Jersey, United States;26.782579;77344
Q510041;Porziuncola;Catholic chapel near Assisi;;
Q283034;Mugello;historic region and valley in northern Tuscany, in Italy;;
Q199160;Uzeste;commune in Gironde, France;26.05;397
Q1145715;Pelusium;city;;
Q16869;Constantinople;capital city of the Eastern Roman or Byzantine Empire, the Latin and the Ottoman Empire;;
Q5776;Bethlehem;Palestinian city;30;25266
Q1519069;Ketchum;city in Blaine County, Idaho, United States;8.429275;2680
Q3766;Damascus;capital of Syria;105;1711000
Q178925;Gran Canaria;Spanish island of the Canary Islands;1560;
Q11299;Manhattan;borough of New York City, New York, United States;33.58;1585873
Q3495316;St George's Hospital;hospital in Tooting in the London Borough of Wandsworth;;
Q58894;Santa Maria Capua Vetere;Italian comune;15.92;32856
Q9248;Baku;capital of Azerbaijan;2130;2122300
Q72719;Torre del Greco;Italian comune;33.7;85927
Q1780;Bratislava;capital city of Slovakia;367.584;417389
Q1049641;Castleknock;suburb of Dublin and a civil parish in Fingal, Ireland;;
Q1718;Düsseldorf;capital city of the German federated state of North Rhine-Westphalia;217.41;603210
