human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q9640;Lyndon B. Johnson;American politician, 36th President of the United States;Lyndon B. Johnson;male;+1908-08-27T00:00:00Z;+1973-01-22T00:00:00Z;nc
Q17094166;Josep Simont i Guillén;;;male;+1875-09-30T00:00:00Z;+1968-11-19T00:00:00Z;nc
Q44279;Oliver Cromwell;English military and political leader;Oliver Cromwell;male;+1599-04-25T00:00:00Z;+1658-09-03T00:00:00Z;nc
Q48828;Mushegh I Mamikonian;Armenian noble;;male;;+0370-00-00T00:00:00Z;nc
Q91673;Gaspar Schott;German mathematician;;male;+1608-02-05T00:00:00Z;+1666-05-22T00:00:00Z;nc
Q381374;Zyndram of Maszkowice;Polish knight;;male;+1355-00-00T00:00:00Z;+1414-01-01T00:00:00Z;nc
Q380482;Agathon;Athenian tragic poet;;male;-0448-01-01T00:00:00Z;-0401-01-01T00:00:00Z;nc
Q531748;Carsten Hansen;Danish politician;Carsten Hansen;male;+1957-01-10T00:00:00Z;;nc
Q188646;Lucan;Roman poet;Marcus Annaeus Lucanus;male;+0039-11-03T00:00:00Z;+0065-04-30T00:00:00Z;nc
Q483026;Kwon Ram;Korean politician;;male;+1416-00-00T00:00:00Z;+1465-02-06T00:00:00Z;nc
Q7198;Ovid;Roman poet;Publius Ovidius Naso;male;-0043-03-20T00:00:00Z;+0017-00-00T00:00:00Z;nc
Q7149500;Paul Bransom;American artist;;male;+1885-01-01T00:00:00Z;+1979-01-01T00:00:00Z;nc
Q4260905;Adolf Liebscher;Czech painter;;male;+1857-03-11T00:00:00Z;+1919-06-11T00:00:00Z;nc
Q1452797;Frederick Bayer;American malacologist;;male;+1921-10-31T00:00:00Z;+2007-10-02T00:00:00Z;nc
Q82006;Benjamin Disraeli;British Conservative politician, writer, aristocrat and Prime Minister;Benjamin Disraeli;male;+1804-12-21T00:00:00Z;+1881-04-19T00:00:00Z;nc
Q1494309;Alphonse de Neuville;French painter;Alphonse de Neuville;male;+1836-05-31T00:00:00Z;+1885-05-19T00:00:00Z;nc
Q41866;Justinian I;Eastern Roman Emperor (Byzantine Emperor);Flavius Petrus Sabbatius Iustinianus;male;+0482-05-11T00:00:00Z;+0565-11-14T00:00:00Z;nc
Q332750;Dionysius I of Syracuse;Sicilian tyrant;Διονύσιος;male;-0430-01-01T00:00:00Z;-0366-01-01T00:00:00Z;nc
Q367196;Ettore Majorana;Italian physicist;Ettore Majorana;male;+1906-08-05T00:00:00Z;+1938-03-27T00:00:00Z;nc
Q315347;Peter Lombard;medieval priest and theologian;Petrus Lombardus;male;+1100-00-00T00:00:00Z;+1160-00-00T00:00:00Z;nc
Q469050;Pomponia Graecina;Roman woman;;female;+0100-01-01T00:00:00Z;;nc
Q23690172;F. Colombari;;;male;+1800-00-00T00:00:00Z;;nc
Q366205;Tigellinus;Praetorian prefect;;male;+0010-01-01T00:00:00Z;+0069-01-01T00:00:00Z;nc
Q6755525;Niu Gao;Song dynasty general;;male;+1086-01-01T00:00:00Z;+1147-01-01T00:00:00Z;nc
Q44265;Benedict of Nursia;Christian saint and monk;;male;+0480-03-02T00:00:00Z;+0547-03-21T00:00:00Z;nc
Q36303;Thales;ancient Greek philosopher and mathematician;Θαλῆς ὁ Μιλήσιος;male;-0623-01-01T00:00:00Z;-0546-01-01T00:00:00Z;nc
Q539;Giuseppe Garibaldi;Italian general and politician;Giuseppe Garibaldi;male;+1807-07-04T00:00:00Z;+1882-06-02T00:00:00Z;nc
Q43999;James;major religious figure in Christian tradition and one of the Twelve Apostles;;male;+0001-00-00T00:00:00Z;+0044-01-01T00:00:00Z;nc
Q8409;Alexander the Great;King of Macedon;Ἀλέξανδρος Γ' ὁ Μέγας;male;-0356-07-20T00:00:00Z;-0323-06-10T00:00:00Z;nc
Q9438;Santo Tomás de Aquinas;Dominican scholastic philosopher of the Roman Catholic Church;Thomas Aquinas;male;+1225-00-00T00:00:00Z;+1274-03-07T00:00:00Z;nc
Q145746;Joseph;Biblical character, son of Jacob;;male;-1562-00-00T00:00:00Z;-1452-00-00T00:00:00Z;nc
Q187982;Alcibiades;Athenian statesman;;male;-0450-01-01T00:00:00Z;-0404-01-01T00:00:00Z;nc
Q485547;Aurangzeb;Sixth Mughal Emperor;;male;+1618-11-03T00:00:00Z;+1707-03-03T00:00:00Z;nc
Q334398;Yue Fei;Song dynasty general;;male;+1103-03-24T00:00:00Z;+1142-01-27T00:00:00Z;nc
Q302986;Aretas IV Philopatris;King of the Nabataens;;male;-0100-01-01T00:00:00Z;-0060-00-00T00:00:00Z;nc
Q231944;Ann Radcliffe;English author and a pioneer of the Gothic novel;Ann Radcliffe;female;+1764-07-09T00:00:00Z;+1823-02-07T00:00:00Z;nc
Q5254;Folquet de Marselha;trobadour and anti-Cathar bishop of Toulouse;Folquet de Marseille;male;+1150-01-01T00:00:00Z;+1231-12-25T00:00:00Z;nc
Q367387;William II of Sicily;King of Sicily;;male;+1153-01-01T00:00:00Z;+1189-11-18T00:00:00Z;nc
Q4712236;Alberto Villamizar;Cuban ambassador;;male;+1944-10-26T00:00:00Z;+2007-07-26T00:00:00Z;nc
Q6777920;Maruja Pachón;Kidnap victim and Minister for Education;;female;+1948-12-09T00:00:00Z;;nc
Q470621;Saint Methodius;Christian missionary to the Slavs;;male;+0815-01-01T00:00:00Z;+0885-04-06T00:00:00Z;nc
Q676555;Francis of Assisi;Catholic saint and founder of the Franciscan Order;Francesco;male;+1182-00-00T00:00:00Z;+1226-10-03T00:00:00Z;nc
Q5403117;Ethel Franklin Betts;American artist;;female;+1878-01-01T00:00:00Z;+1956-01-01T00:00:00Z;nc
Q218186;Vytautas;King of Lithuania;;male;+1352-00-00T00:00:00Z;+1430-10-27T00:00:00Z;nc
Q77103;Carl Ludvig Engel;German architect;Johann Carl Ludwig Engel;male;+1778-07-03T00:00:00Z;+1840-05-04T00:00:00Z;nc
Q634239;Atto Melani;Italian opera singer;;male;+1626-03-30T00:00:00Z;+1714-01-04T00:00:00Z;nc
Q937415;James Stewart, 1st Earl of Moray;regent of Scotland, natural son of James V, king of Scots;;male;+1531-01-01T00:00:00Z;+1570-01-23T00:00:00Z;nc
Q230677;Madame du Barry;mistress of Louis XV;Madame du Barry;female;+1743-08-19T00:00:00Z;+1793-12-08T00:00:00Z;nc
Q39446221;František Slabý;Czech painter, 1863-1919;;male;+1863-01-01T00:00:00Z;+1919-01-01T00:00:00Z;nc
Q731694;Qin Hui;Chinese politician of the Song Dynasty;;male;+1090-01-01T00:00:00Z;+1155-01-01T00:00:00Z;nc
Q1981295;Francisco Santos Calderón;Colombian politician;Francisco Santos Calderón;male;+1961-08-14T00:00:00Z;;nc
Q612501;Yeghishe;Armenian historian;Եղիշե;male;+0410-01-01T00:00:00Z;+0475-01-01T00:00:00Z;nc
Q434479;Lino Banfi;actor;Pasquale Zagaria;male;+1936-07-09T00:00:00Z;;nc
Q5598;Rembrandt;Dutch painter and etcher;Rembrandt Harmenszoon van Rijn;male;+1606-07-15T00:00:00Z;+1669-10-04T00:00:00Z;nc
Q28575591;Tisdall Farrell;Dublin eccentric in James Joyce's Ulysses;;male;+1851-06-17T00:00:00Z;;nc
Q1063544;Charles Allan Gilbert;American illustrator;;male;+1873-09-03T00:00:00Z;+1929-04-20T00:00:00Z;nc
Q6582069;Watanabe no Tsuna;Japanese samurai;;male;+0953-00-00T00:00:00Z;+1025-03-17T00:00:00Z;nc
Q12324262;Lene Jensen;Danish politician;Lene Jensen;female;+1964-09-26T00:00:00Z;;nc
Q549041;Gratian;Italian jurist;;male;+1070-01-01T00:00:00Z;+1140-01-01T00:00:00Z;nc
Q24845917;William Alexander;Australian politician;;male;+1844-12-00T00:00:00Z;+1924-05-27T00:00:00Z;nc
Q4230107;William Compton;English army officer;;male;+1625-01-01T00:00:00Z;+1663-01-01T00:00:00Z;nc
Q936761;Pap of Armenia;King of Arsacid;;male;+0353-01-01T00:00:00Z;+0374-00-00T00:00:00Z;nc
Q83375;Empedocles;ancient Greek philosopher;;male;-0490-00-00T00:00:00Z;-0430-00-00T00:00:00Z;nc
Q487550;Heo Jun;Korean court physician;;male;+1546-01-01T00:00:00Z;+1615-01-01T00:00:00Z;nc
Q7235954;Powała of Taczew;;;male;+1380-00-00T00:00:00Z;;nc
Q665165;Sordello;Italian troubadour, poet and composer;;male;+1200-00-00T00:00:00Z;+1269-01-01T00:00:00Z;nc
Q172248;Marcus Junius Brutus;Roman politician;;male;-0085-01-01T00:00:00Z;-0042-01-01T00:00:00Z;nc
Q218747;Honoré Gabriel Riqueti, comte de Mirabeau;French writer, orator and statesman;Honoré Gabriel Riqueti, comte de Mirabeau;male;+1749-03-09T00:00:00Z;+1791-04-02T00:00:00Z;nc
Q5685;Anton Chekhov;Russian dramatist, author and physician;Антон Павлович Чехов;male;+1860-01-17T00:00:00Z;+1904-07-02T00:00:00Z;nc
Q1177456;David of Scotland, Earl of Huntingdon;Scottish princeand Earl of Huntingdon;;male;+1152-00-00T00:00:00Z;+1219-06-17T00:00:00Z;nc
Q256663;Anne Geneviève de Bourbon;French princess;Anne Geneviève de Bourbon-Condé;female;+1619-08-28T00:00:00Z;+1679-04-05T00:00:00Z;nc
Q141791;Moctezuma II;Mexica tlatoani;;male;+1466-01-01T00:00:00Z;+1520-06-29T00:00:00Z;nc
Q45403232;Yue Lei;;;male;;;nc
Q5078521;Charles H. Bennett;illustrator;;male;+1829-01-01T00:00:00Z;+1867-01-01T00:00:00Z;nc
Q1338025;Emma Forsayth;American businessman;;female;+1850-09-26T00:00:00Z;+1913-01-01T00:00:00Z;nc
Q43600;Matthew the Apostle;Christian evangelist and apostle;;male;+0010-01-01T00:00:00Z;+0074-00-00T00:00:00Z;nc
Q13427322;Chmouel Mamikonian;Armenian noble;;male;;;nc
Q983349;Newell Convers Wyeth;illustrator;;male;+1882-10-22T00:00:00Z;+1945-10-19T00:00:00Z;nc
Q2442652;Tony Johannot;French painter;Tony Johannot;male;+1803-11-09T00:00:00Z;+1852-08-04T00:00:00Z;nc
Q4363875;;;;male;;+1455-01-01T00:00:00Z;nc
Q297776;Pedanius Dioscorides;Greco-Roman physician and pharmacologist;;male;+0040-01-01T00:00:00Z;+0090-01-01T00:00:00Z;nc
Q9960;Ronald Reagan;40th President of the United States (in office from 1981 to 1989);Ronald Reagan;male;+1911-02-06T00:00:00Z;+2004-06-05T00:00:00Z;nc
Q281456;Enrique de Villena;Spanish noble and writer;;male;+1384-01-01T00:00:00Z;+1434-12-15T00:00:00Z;nc
Q5494534;Fred Barnard;British artist;;male;+1846-05-16T00:00:00Z;+1896-09-28T00:00:00Z;nc
Q743858;Joscius, Archbishop of Tyre;Archbishop of Tyre, Jerusalem;;male;+1200-01-01T00:00:00Z;+1202-01-01T00:00:00Z;nc
Q1394174;Paphnutius of Thebes;Egyptian saint;;male;+0360-01-01T00:00:00Z;+0400-00-00T00:00:00Z;nc
Q27868400;Virginia Albert;American illustrator;;female;;;nc
Q4403346;Sahak Sevada;Prince of Gardman;;male;+0895-00-00T00:00:00Z;+0940-00-00T00:00:00Z;nc
