human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q1425;Trajan;Emperor of Ancient Rome;Caesar Marcus Ulpius Nerva Traianus;male;+0053-09-18T00:00:00Z;+0117-08-09T00:00:00Z;nc
Q230716;Poppaea Sabina;Roman Empress;;female;+0030-01-01T00:00:00Z;+0065-01-01T00:00:00Z;nc
Q2252;Buzz Aldrin;American astronaut;Buzz Aldrin;male;+1930-01-20T00:00:00Z;;nc
Q7071043;Nydia Quintero Turbay;First lady of Colombia;;female;+1928-10-20T00:00:00Z;;nc
Q154723;Viktor Frankl;Austrian neurologist and psychiatrist, and Holocaust survivor;Viktor Frankl;male;+1905-03-26T00:00:00Z;+1997-09-02T00:00:00Z;nc
Q153670;Primo Levi;Italian chemist, memoirist, short story writer, novelist, essayist;Primo Levi;male;+1919-07-31T00:00:00Z;+1987-04-11T00:00:00Z;nc
Q207370;Gaius Cassius Longinus;Roman politician;;male;-0087-01-01T00:00:00Z;-0042-01-01T00:00:00Z;nc
Q4284663;;;Микаил Матвей;male;;;nc
Q4194870;;;;male;;;nc
Q302;Jesus Christ;central figure of Christianity;ישוע;male;-0002-00-00T00:00:00Z;+0033-00-00T00:00:00Z;nc
Q355903;Siger of Brabant;Brabantian philosopher;;male;+1235-00-00T00:00:00Z;+1284-11-10T00:00:00Z;nc
Q590523;Minamoto no Yorimitsu;Regent of the Fujiwara clan;源頼光;male;+0944-01-01T00:00:00Z;+1021-08-29T00:00:00Z;nc
Q40787;Nicholas II of Russia;last Emperor of Russia, Grand Duke of Finland, and titular King of Poland;Николай II Александрович Романов;male;+1868-05-06T00:00:00Z;+1918-07-17T00:00:00Z;nc
Q17131;Pontius Pilatus;was the fifth Prefect of the Roman province of Judaea, from AD 26–36;Pontius Pilatus;male;;+0038-00-00T00:00:00Z;nc
Q271278;Jeanne of Valois-Saint-Rémy;French adventuress;Jeanne de Valois-Saint-Rémy;female;+1756-07-22T00:00:00Z;+1791-08-23T00:00:00Z;nc
Q316070;Fletcher Christian;HMS Bounty mutineer;;male;+1764-09-25T00:00:00Z;+1793-09-20T00:00:00Z;nc
Q3486927;Smbat II Bagratuni;;;male;;;nc
Q157107;John of Austria;Spanish general;Don Juan de Austria;male;+1547-02-24T00:00:00Z;+1578-10-01T00:00:00Z;nc
Q76738;Athanasius Kircher;German Jesuit scholar;Athanasius Kircher;male;+1602-05-12T00:00:00Z;+1680-11-28T00:00:00Z;nc
Q28966326;Josef Ulrich;Czech painter and illustrator;;male;+1857-02-28T00:00:00Z;+1930-10-06T00:00:00Z;nc
Q1394;Vladimir Lenin;Russian politician, communist theorist and first leader of Soviet Russia;Владимир Ильич Ульянов;male;+1870-04-10T00:00:00Z;+1924-01-21T00:00:00Z;nc
Q27624911;Jan Kostěnec;Czech painter and illustrator;;male;+1834-08-03T00:00:00Z;+1905-04-12T00:00:00Z;nc
Q438615;Marie de Rohan;French noble;Marie de Rohan;female;+1600-12-01T00:00:00Z;+1679-08-12T00:00:00Z;nc
Q200817;Titus van Rijn;child of Dutch painter Rembrandt;;male;+1641-09-22T00:00:00Z;+1668-01-01T00:00:00Z;nc
Q34428;Philip II of France;King of France from 1180 to 1223, and the first to be called by that title;Philippe II Auguste;male;+1165-08-21T00:00:00Z;+1223-07-14T00:00:00Z;nc
Q4205158;;;;male;;;nc
Q232913;Beatrice Portinari;Dante's muse;;female;+1266-01-01T00:00:00Z;+1290-06-15T00:00:00Z;nc
Q1774745;Billy Milligan;First suspect acquitted by reason of multiple personality disorder.;;male;+1955-02-14T00:00:00Z;+2014-12-13T00:00:00Z;nc
Q59736;Ignaz Semmelweis;Austrian doctor;Ignaz Philipp Semmelweis;male;+1818-07-01T00:00:00Z;+1865-08-13T00:00:00Z;nc
Q8011;Avicenna;medieval Persian polymath, physician, and philosopher;ابوعلی حسین بن عبدالله بن حسن بن علی بن سینا;male;+0980-08-16T00:00:00Z;+1037-06-18T00:00:00Z;nc
Q167768;William Makepeace Thackeray;novelist;William Makepeace Thackeray;male;+1811-07-18T00:00:00Z;+1863-12-24T00:00:00Z;nc
Q1018606;Byron Howard;American film director and animator;;male;+1968-01-01T00:00:00Z;;nc
Q2750254;Pharantzem;;;female;;+0369-00-00T00:00:00Z;nc
Q1300641;Rembrandt Bugatti;Italian sculptor;Rembrandt Bugatti;male;+1884-10-16T00:00:00Z;+1916-01-08T00:00:00Z;nc
Q1413;Nero;Emperor of Ancient Rome, 5th and last of the Julio-Claudian dynasty;Nero Claudius Cæsar Augustus Germanicus;male;+0037-12-15T00:00:00Z;+0068-06-09T00:00:00Z;nc
Q170859;Nicholas III;Pope from 1277 to 1280;;male;+1215-01-01T00:00:00Z;+1280-08-29T00:00:00Z;nc
Q214565;Beatrix Potter;English children's writer and illustrator;;female;+1866-07-28T00:00:00Z;+1943-12-22T00:00:00Z;nc
Q454568;Josef Čapek;Czech painter and writer;;male;+1887-03-23T00:00:00Z;+1945-04-01T00:00:00Z;nc
Q315628;Cuitláhuac;Tlatloani of Tenochtitlan;;male;+1476-01-01T00:00:00Z;+1520-01-01T00:00:00Z;nc
Q163366;Ezra Pound;American poet and critic;;male;+1885-10-30T00:00:00Z;+1972-11-01T00:00:00Z;nc
Q1927217;Michael Cusack;Founder of the Gaelic Athletic Association;;male;+1847-09-20T00:00:00Z;+1906-11-27T00:00:00Z;nc
Q13562217;Mary Cecilia Bailly;educator and Catholic leader from the USA;Eleanor Cecilia Kinzie Bailly;female;+1815-06-02T00:00:00Z;+1898-08-02T00:00:00Z;nc
Q20057070;Bohumír Čermák;;;male;+1882-11-08T00:00:00Z;+1961-09-23T00:00:00Z;nc
Q3048295;Nasreddine Dinet;French painter;Étienne Dinet;male;+1861-03-28T00:00:00Z;+1929-12-24T00:00:00Z;nc
Q920912;Theaetetus;ancient Greek mathematician;Θεαίτητος;male;-0416-01-01T00:00:00Z;-0369-01-01T00:00:00Z;nc
Q3008497;Vassak Mamikonian;Armenian sparapet for King Arsaces II;;male;;+0364-01-01T00:00:00Z;nc
Q1227273;Henry Mayhew;British writer and activist;;male;+1812-11-25T00:00:00Z;+1887-07-25T00:00:00Z;nc
Q39837;Averroes;Medieval Arab scholar and philosopher;ابن رشد;male;+1126-04-14T00:00:00Z;+1198-12-10T00:00:00Z;nc
Q127641;Vitus Bering;Danish explorer;;male;+1681-08-05T00:00:00Z;+1741-12-08T00:00:00Z;nc
Q203792;Robert Guiscard;Duke of Apulia and Calabria;;male;+1016-01-01T00:00:00Z;+1085-07-17T00:00:00Z;nc
Q6762867;Marie Helene Franey;educator and Catholic leader from the USA;Helena Agnes Franey;female;+1898-07-29T00:00:00Z;+1953-11-23T00:00:00Z;nc
Q560015;Hugh Lofting;British author, trained as a civil engineer;Hugh Lofting;male;+1886-01-14T00:00:00Z;+1947-09-26T00:00:00Z;nc
Q5686;Charles Dickens;English writer and social critic;Charles John Huffam Dickens;male;+1812-02-07T00:00:00Z;+1870-06-09T00:00:00Z;nc
Q311456;Orosius;Roman scholar;;male;+0375-01-01T00:00:00Z;+0420-01-01T00:00:00Z;nc
Q2755054;Guido I da Montefeltro;Italian military strategist;;male;+1223-01-01T00:00:00Z;+1298-09-29T00:00:00Z;nc
Q448586;Fra Dolcino;Italian preacher;;male;+1250-01-01T00:00:00Z;+1307-06-01T00:00:00Z;nc
Q24259036;Cory Loftis;artist working at Disney;;male;;;nc
Q165479;Saint Patrick;5th-century Romano-British Christian missionary and bishop in Ireland;;male;+0385-01-01T00:00:00Z;+0461-03-17T00:00:00Z;nc
Q317436;Charles Stewart Parnell;Irish politician;Charles Stewart Parnell;male;+1846-06-27T00:00:00Z;+1891-10-06T00:00:00Z;nc
Q6691;Homer;ancient Greek epic poet, traditionally considered as the author of the Iliad and the Odyssey;Ὅμηρος;male;-0900-00-00T00:00:00Z;-0800-00-00T00:00:00Z;nc
Q12927;Marine Le Pen;French lawyer and politician;Marine Le Pen;female;+1968-08-05T00:00:00Z;;nc
Q1347324;François de Vendôme, Duc de Beaufort;French noble;François de Vendôme;male;+1616-01-16T00:00:00Z;+1669-06-25T00:00:00Z;nc
Q315726;Grand Duke Alexei Alexandrovich of Russia;Russian grand duke;;male;+1850-01-02T00:00:00Z;+1908-11-01T00:00:00Z;nc
Q312332;Alessandro Cagliostro;Italian occultist;;male;+1743-06-02T00:00:00Z;+1795-08-26T00:00:00Z;nc
Q235523;Peggy Whitson;NASA astronaut;Peggy Annette Whitson;female;+1960-02-09T00:00:00Z;;nc
Q860084;Pausanias of Athens;Athenian noble;;male;;;nc
Q244413;Vincent de Paul;French priest, founder and saint;Vincent de Paul;male;+1581-04-24T00:00:00Z;+1660-09-27T00:00:00Z;nc
Q2535359;Cornelis de Bruijn;Dutch painter, writer and traveller;Cornelis de Bruijn;male;+1652-01-01T00:00:00Z;+1727-00-00T00:00:00Z;nc
Q6369293;Karel Franta;Czech illustrator and painter;;male;+1928-05-01T00:00:00Z;+2017-07-19T00:00:00Z;nc
Q26457837;Aziza bint as-Sathi;;;female;+1421-00-00T00:00:00Z;+1501-00-00T00:00:00Z;nc
Q317554;Hugh of Saint Victor;German-French canon regular and theologian;Hugues de Saint-Victor;male;+1096-00-00T00:00:00Z;+1141-02-11T00:00:00Z;nc
Q1209603;Dick Beardsley;American distance runner;;male;+1956-03-21T00:00:00Z;;nc
Q193660;Ramon Llull;Majorcan writer and philosopher;;male;+1232-00-00T00:00:00Z;+1316-00-00T00:00:00Z;nc
Q24259046;Marty Baumann;artist working at Disney;;male;;;nc
Q83321;Giacomo Casanova;Italian adventurer and author;Giacomo Casanova;male;+1725-04-02T00:00:00Z;+1798-06-04T00:00:00Z;nc
Q282280;Vladimir Solovyov;Russian philosopher;;male;+1853-01-28T00:00:00Z;+1900-08-13T00:00:00Z;nc
Q1403;Luigi Pirandello;Italian dramatist, novelist, short story writer, and poet, Nobel Prize for Literature laureate;;male;+1867-06-28T00:00:00Z;+1936-12-10T00:00:00Z;nc
Q519984;Neil Strauss;American writer;;male;+1973-10-13T00:00:00Z;;nc
Q3905385;Pio Panfili;Italian painter and engraver;;male;+1723-05-05T00:00:00Z;+1812-06-17T00:00:00Z;nc
Q3260577;Louis-Henri Brévière;Wood engraver;;male;+1797-12-15T00:00:00Z;+1869-06-02T00:00:00Z;nc
Q981915;Joseph Bazalgette;19th-century English civil engineer;;male;+1819-03-28T00:00:00Z;+1891-03-15T00:00:00Z;nc
Q286238;Thaïs;saint;;female;;+0400-01-01T00:00:00Z;nc
Q103960;Semiramis;legendary queen;;female;;;nc
Q28053702;Simon Novellanus;German artist;;male;;;nc
Q47365;Marie Antoinette;last Queen of France prior to the French Revolution;Marie-Antoinette d'Autriche;female;+1755-11-02T00:00:00Z;+1793-10-16T00:00:00Z;nc
Q5015;Mette Frederiksen;Danish Social Democrat politician;Mette Frederiksen;female;+1977-11-19T00:00:00Z;;nc
Q1937560;Mogens Lykketoft;Danish politician;Mogens Lykketoft;male;+1946-01-09T00:00:00Z;;nc
Q2721219;Farinata degli Uberti;Italian aristocrat;;male;+1212-01-01T00:00:00Z;+1264-11-11T00:00:00Z;nc
Q169329;Conrad of Montferrat;King of Jerusalem;;male;+1146-00-00T00:00:00Z;+1192-04-28T00:00:00Z;nc
Q172916;John XXI;pope;Johannes XXI.;male;+1215-00-00T00:00:00Z;+1277-05-20T00:00:00Z;nc
Q243811;Pope Joan;mythical female pope;;female;;;nc
Q517792;George-Daniel de Monfreid;French painter and art collector;George-Daniel de Monfreid;male;+1856-03-14T00:00:00Z;+1929-11-26T00:00:00Z;nc
Q583275;Édouard Riou;French painter and writer;Édouard Riou;male;+1833-12-02T00:00:00Z;+1900-01-27T00:00:00Z;nc
Q157;François Hollande;24th President of the French Republic;François Gérard Georges Nicolas Hollande;male;+1954-08-12T00:00:00Z;;nc
Q24259034;David Goetz;artist working at Disney;;male;;;nc
Q152717;Henry VII, Holy Roman Emperor;King of the Romans from 1308 to 1313;;male;+1275-01-01T00:00:00Z;+1313-08-24T00:00:00Z;nc
Q345647;Philip the Tetrarch;;;male;-0004-01-01T00:00:00Z;+0034-01-01T00:00:00Z;nc
Q8581;Saladin;Kurdish leader. First Sultan of Egypt and Syria, founder of the Ayyubid dynasty;صلاح الدين الأيوبي;male;+1138-00-00T00:00:00Z;+1193-03-04T00:00:00Z;nc
Q365695;Moses of Chorene;Armenian historian;Մովսէս Խորենացի;male;+0400-01-01T00:00:00Z;+0500-01-01T00:00:00Z;nc
Q160441;Rabanus Maurus;archbishop of Mainz and writer;;male;+0780-00-00T00:00:00Z;+0856-02-04T00:00:00Z;nc
Q207535;Roland;Frankish military leader under Charlemagne;;male;;+0778-08-15T00:00:00Z;nc
Q17523640;Manuel Maria Bordalo Pinheiro;Portuguese painter;;male;+1815-11-28T00:00:00Z;+1880-01-31T00:00:00Z;nc
Q39259;Recep Tayyip Erdoğan;12th President of Turkey from 2014;Recep Tayyip Erdoğan;male;+1954-02-26T00:00:00Z;;nc
Q27517421;Gavin St Pier;politician;;male;+1967-01-00T00:00:00Z;;nc
Q5951349;Juan María Aburto;Spanish politician;Juan María Aburto Rike;male;+1961-03-28T00:00:00Z;;nc
Q983514;Georgy Poltavchenko;Russian politician;;male;+1953-02-24T00:00:00Z;;nc
Q19592761;Manuela Carmena;Spanish judge and politician;Manuela Carmena;female;+1944-02-09T00:00:00Z;;nc
Q4911497;Bill de Blasio;American politician and mayor of New York City;Bill De Blasio;male;+1961-05-08T00:00:00Z;;nc
Q57613;Ahmed Ouyahia;Algerian politician;أحمد أويحي;male;+1952-07-02T00:00:00Z;;nc
Q57460;Ernest Bai Koroma;Sierra Leonean President;Ernest Bai Koroma;male;+1953-10-02T00:00:00Z;;nc
Q367825;Salman of Saudi Arabia;King of Saudi Arabia;سلمان بن عبد العزيز آل سعود;male;+1935-12-31T00:00:00Z;;nc
Q1932603;Miguel Díaz-Canel;3rd President of the Council of State of Cuba;Miguel Díaz-Canel;male;+1960-04-20T00:00:00Z;;nc
Q24030720;Martín Vizcarra;president of Perú;Martín Vizcarra;male;+1963-03-22T00:00:00Z;;nc
Q57643;Lee Hsien Loong;Prime Minister of Singapore;李显龙;male;+1952-02-10T00:00:00Z;;nc
Q57618;Artur Rasizade;Azerbaijani politician;Artur Tahir oğlu Rəsizadə;male;+1935-02-26T00:00:00Z;;nc
Q57274;Yoweri Museveni;President of Uganda;Yoweri Kaguta Museveni;male;+1944-09-15T00:00:00Z;;nc
Q50365049;Abiy Ahmed;Ethiopian politician;;male;+1976-08-15T00:00:00Z;;nc
Q316553;Ramush Haradinaj;Kosovar soldier and Prime Minister of Kosovo;Ramush Haradinaj;male;+1968-07-03T00:00:00Z;;nc
Q3099714;Justin Trudeau;23rd Prime Minister of Canada  eldest son of Pierre Trudeau;Justin Trudeau;male;+1971-12-25T00:00:00Z;;nc
Q25752048;Howard Quayle;politician;;male;+1967-00-00T00:00:00Z;;nc
Q505200;Andrew Holness;Jamaican politician;;male;+1972-07-22T00:00:00Z;;nc
Q983971;Tom Thabane;Prime Minister of Lesotho;Tom Thabane;male;+1939-01-01T00:00:00Z;;nc
Q610788;António Costa;Prime Minister of Portugal;António Costa;male;+1961-07-17T00:00:00Z;;nc
Q7279347;Rachel Notley;17th Premier of Alberta;;female;+1964-04-17T00:00:00Z;;nc
Q543040;José Manuel de la Sota;Argentine politician;José Manuel de la Sota;male;+1949-11-28T00:00:00Z;;nc
Q6782004;María Eugenia Vidal;politician from Argentina;;female;+1973-09-08T00:00:00Z;;nc
Q57775;Boyko Borisov;Bulgarian politician;Бойко Методиев Борисов;male;+1959-06-13T00:00:00Z;;nc
Q42937156;Víctor Puga López;;;male;+1972-00-00T00:00:00Z;;nc
Q7176020;Peter Mutharika;President of Malawi;;male;+1940-01-01T00:00:00Z;;nc
Q510523;Emmerson Mnangagwa;President of the Republic of Zimbabwe;Emmerson Mnangagwa;male;+1942-09-15T00:00:00Z;;nc
Q38188115;Édouard Ngirente;Prime Minister of the Republic of Rwanda, 2017-;;male;+1973-00-00T00:00:00Z;;nc
Q6001983;Imad Mohammad Deeb Khamis;Prime Minister of Syria;عماد محمد ديب خميس;male;+1961-08-01T00:00:00Z;;nc
Q1148719;Luigi de Magistris;Italian politician;;male;+1967-06-20T00:00:00Z;;nc
Q7035479;Nikol Pashinyan;Prime Minister of Armenia;Նիկոլ Փաշինյան;male;+1975-06-01T00:00:00Z;;nc
Q15700032;Bakri Hassan Saleh;Sudanese politician;بكري حسن صالح;male;+1949-00-00T00:00:00Z;;nc
Q57830;Frank Bainimarama;Prime Minister of Fiji;Frank Bainimarama;male;+1954-04-27T00:00:00Z;;nc
Q255442;Francisco de la Torre Prados;Spanish politician;Francisco de la Torre Prados;male;+1942-12-21T00:00:00Z;;nc
Q3479546;Serge Telle;Minister of State of Monaco;Serge Telle;male;+1955-05-05T00:00:00Z;;nc
Q334155;Sadiq Khan;British politician;Sadiq Khan;male;+1970-10-08T00:00:00Z;;nc
Q2834514;Alexis Galanos;Cypriot politician;Αλέξης Γαλανός;male;+1940-08-30T00:00:00Z;;nc
Q43723;Benjamin Netanyahu;Israeli prime minister;בנימין נתניהו;male;+1949-10-21T00:00:00Z;;nc
Q57792;Mark Rutte;Prime Minister of the Netherlands;Mark Rutte;male;+1967-02-14T00:00:00Z;;nc
Q264766;Theresa May;Prime Minister of the United Kingdom;Theresa May;female;+1956-10-01T00:00:00Z;;nc
Q2840866;Amadou Gon Coulibaly;Ivorian politician;Amadou Gon Coulibaly;male;+1959-02-10T00:00:00Z;;nc
Q14074180;Lluís Guinó Subirós;Spanish politician;;male;+1969-05-29T00:00:00Z;;nc
Q182397;Lars Løkke Rasmussen;Danish politician;Lars Løkke Rasmussen;male;+1964-05-15T00:00:00Z;;nc
Q16203640;Allen Chastanet;Saint Lucian businessman and politician;Allen Michael Chastanet;male;+1960-11-20T00:00:00Z;;nc
Q468394;Nir Barkat;Israeli politician and mayor of Jerusalem;;male;+1959-10-19T00:00:00Z;;nc
Q3318231;Joko Widodo;President of Indonesia;Joko Widodo;male;+1961-06-21T00:00:00Z;;nc
Q502864;Andrei Kobyakov;;Андрэй Уладзіміравіч Кабякоў;male;+1960-11-21T00:00:00Z;;nc
Q7436891;Scott Moe;Member of Legislative Assembly of Saskatchewan, Canada;;male;;;nc
Q795241;B. S. Yeddyurappa;Indian politician;;male;+1943-02-27T00:00:00Z;;nc
Q58132;Nicolás Maduro;53rd President of Venezuela;Nicolás Maduro Moros;male;+1962-11-23T00:00:00Z;;nc
Q3379654;Philippe Couillard;Canadian politician;Philippe Couillard;male;+1957-06-26T00:00:00Z;;nc
Q2355582;Geert Bourgeois;Flemish minister-president;;male;+1951-07-06T00:00:00Z;;nc
Q18352991;Edgar Lungu;Zambian politician;Edgar Chagwa Lungu;male;+1956-11-11T00:00:00Z;;nc
Q59155;Arvind Kejriwal;Indian politician;;male;+1968-08-16T00:00:00Z;;nc
Q23766020;Virginia Raggi;Italian politician;Virginia Raggi;female;+1978-07-18T00:00:00Z;;nc
Q77391;Stanislaw Tillich;former Minister-President of Saxony;Stanislaw Tillich;male;+1959-04-10T00:00:00Z;;nc
Q3786221;Kathleen Wynne;25th Premier of Ontario;Kathleen Wynne;female;+1953-05-21T00:00:00Z;;nc
Q11771436;Mateusz Morawiecki;Polish politician;Mateusz Jakub Morawiecki;male;+1968-06-20T00:00:00Z;;nc
Q10800073;Nguyen Xuan Phuc;Prime Minister of Vietnam;Nguyễn Xuân Phúc;male;+1954-07-20T00:00:00Z;;nc
Q318508;Andrés Manuel López Obrador;Mexican politician and writer;Andrés Manuel López Obrador;male;+1953-11-13T00:00:00Z;;nc
Q2740012;Stefan Löfven;Swedish 20th century prime minister;Stefan Löfven;male;+1957-07-21T00:00:00Z;;nc
Q6384971;Keith Rowley;Trinidad and Tobago politician;Keith Christopher Rowley;male;+1949-10-24T00:00:00Z;;nc
Q18104657;Adriana Krnáčová;Czech politician, mayor of Prague;;female;+1960-09-26T00:00:00Z;;nc
Q370110;Keith Mitchell;Grenadian politician;Keith Claudius Mitchell;male;+1946-11-12T00:00:00Z;;nc
Q467464;Katrín Jakobsdóttir;28th Prime Minister of Iceland;Katrín Jakobsdóttir;female;+1976-02-01T00:00:00Z;;nc
Q4683097;Yogi Adityanath;Indian politician;;male;+1972-06-05T00:00:00Z;;nc
Q57530;Gurbanguly Berdimuhamedow;president of Turkmenistan;Gurbanguly Mälikgulyýewiç Berdimuhamedow;male;+1957-06-29T00:00:00Z;;nc
Q16669148;Patrice Talon;Beninese president;;male;+1958-05-01T00:00:00Z;;nc
Q241750;Ed Lee;US politician;;male;+1952-05-05T00:00:00Z;+2017-12-12T00:00:00Z;nc
Q5373253;Emmanuel Issoze-Ngondet;Prime Minister of Gabon;;male;+1961-04-02T00:00:00Z;;nc
Q30046006;Josep Maria Corominas Barnadas;Spanish politician;;male;+1955-00-00T00:00:00Z;;nc
Q936831;Salvador Sánchez Cerén;Salvadoran politician;;male;+1944-06-18T00:00:00Z;;nc
Q3606816;Jacinda Ardern;Prime Minister of New Zealand;Jacinda Ardern;female;+1980-07-26T00:00:00Z;;nc
Q15976266;Dario Nardella;Italian politician and mayor of Florence;Dario Nardella;male;+1975-11-20T00:00:00Z;;nc
Q4404442;Bakhytzhan Sagintayev;;Бақытжан Әбдірұлы Сағынтаев;male;+1963-10-13T00:00:00Z;;nc
Q23782689;Olivier Mahafaly Solonandrasana;Malagasy politician;;male;+1964-06-21T00:00:00Z;;nc
Q467112;Nicola Sturgeon;First Minister of Scotland and leader of the Scottish National Party;Nicola Sturgeon;female;+1970-07-19T00:00:00Z;;nc
Q132345;Shinzō Abe;Prime Minister of Japan;安倍 晋三;male;+1954-09-21T00:00:00Z;;nc
Q23530;Dmitry Medvedev;Russian Prime Minister and former president;;male;+1965-09-14T00:00:00Z;;nc
Q950958;Charles Michel;Belgian politician;Charles Michel;male;+1975-12-21T00:00:00Z;;nc
Q2641759;Alexander Bachem;German politician;;male;+1806-01-08T00:00:00Z;+1878-02-11T00:00:00Z;nc
Q7461686;Shahid Khaqan Abbasi;Pakistani politician;Shahid Khaqan Abbasi;male;+1958-12-27T00:00:00Z;;nc
Q10819807;Andrej Babiš;Prime Minister of the Czech Republic;Andrej Babiš;male;+1954-09-02T00:00:00Z;;nc
Q57402;Daniel Ortega;President of Nicaragua;José Daniel Ortega Saavedra;male;+1945-11-11T00:00:00Z;;nc
Q927550;Malcolm Turnbull;Australian politician, lawyer and businessman, 29th Prime Minister of Australia;;male;+1954-10-24T00:00:00Z;;nc
Q348144;Hassan Rouhani;7th President of Islamic Republic of Iran;‌حسن روحانى;male;+1948-11-12T00:00:00Z;;nc
Q863496;Binali Yıldırım;Turkish politician  27th Prime Minister of Turkey;Binali Yıldırım;male;+1955-12-20T00:00:00Z;;nc
Q463533;Michel Temer;President of Brazil;;male;+1940-09-23T00:00:00Z;;nc
Q9368300;Viorica Dăncilă;Romanian politician;Viorica Dăncilă;female;+1963-12-16T00:00:00Z;;nc
Q54901515;Moustafa Madbouly;Egyptian politician, Prime Minister of Egypt;مصطفى مدبولي;male;+1966-04-28T00:00:00Z;;nc
Q111840;Carwyn Jones;Welsh politician and the First Minister of Wales;Carwyn Howell Jones;male;+1967-03-21T00:00:00Z;;nc
Q312015;Alexis Tsipras;Greek politician;Αλέξης Τσίπρας;male;+1974-07-28T00:00:00Z;;nc
Q26701859;Carles Motas López;;;male;;;nc
Q561213;Xavier Bettel;Luxembourgish politician;Xavier Bettel;male;+1973-03-03T00:00:00Z;;nc
Q57823;Roosevelt Skerrit;Prime Minister of Dominica;;male;+1972-06-08T00:00:00Z;;nc
Q291644;Erna Solberg;Norwegian politician;Erna Solberg;female;+1961-02-24T00:00:00Z;;nc
Q7615025;Steven Marshall;Premier of South Australia (2018-);Steven Spence Marshall;male;+1968-01-21T00:00:00Z;;nc
Q296771;Saad Hariri;Lebanese politician;سعد الدين رفيق الحريري;male;+1970-04-18T00:00:00Z;;nc
Q1148669;Cyril Ramaphosa;5th President of South Africa;Matamela Cyril Ramaphosa;male;+1952-11-17T00:00:00Z;;nc
Q6323772;K. Palanisamy;Tamil Nadu politician;;male;+1954-03-02T00:00:00Z;;nc
Q21001;Moon Jae-in;President of South Korea;문재인;male;+1953-01-24T00:00:00Z;;nc
Q561837;Mauricio Macri;Argentine politician and President of Argentina;Mauricio Macri;male;+1959-02-08T00:00:00Z;;nc
Q3847080;William Lai;Taiwanese politician;賴清德;male;+1959-10-06T00:00:00Z;;nc
Q3579995;Édouard Philippe;French politician;Édouard Philippe;male;+1970-11-28T00:00:00Z;;nc
Q179502;Jacek Majchrowski;Polish historian and politician, Mayor of Kraków;;male;+1947-01-13T00:00:00Z;;nc
Q57715;Barnabas Sibusiso Dlamini;Prime Minister of Swaziland;;male;+1942-05-15T00:00:00Z;;nc
Q5639013;Haider Al-Abadi;Iraqi politician and Prime Minister of Iraq;حيدر جواد العبادي;male;+1952-04-25T00:00:00Z;;nc
Q26158335;Dmitriy Ovsyannikov;politician;;male;+1977-02-21T00:00:00Z;;nc
Q4150130;Volodymyr Groysman;Prime Minister of Ukraine since 14 April 2016;Володимир Борисович Гройсман;male;+1978-01-20T00:00:00Z;;nc
Q2885098;Javier Rodríguez Palacios;Spanish politician;Javier Rodríguez Palacios;male;+1972-04-05T00:00:00Z;;nc
Q17490240;Luigi Brugnaro;Italian entrepreneur and politician;;male;+1961-09-13T00:00:00Z;;nc
Q5648173;Hani al-Mulki;Jordanian politician;هاني الملقي;male;+1951-10-15T00:00:00Z;;nc
Q42942052;Xavier Sala i Congost;Spanish politician;;male;;;nc
Q16527490;Antonio Decaro;Italian politician and mayor;Antonio Decaro;male;+1970-07-17T00:00:00Z;;nc
Q53844829;Giuseppe Conte;58th Prime Minister of Italy;Giuseppe Conte;male;+1964-08-08T00:00:00Z;;nc
Q17478000;Iván Duque;Colombian politician and lawyer;Iván Duque Márquez;male;+1976-08-01T00:00:00Z;;nc
Q6756538;Marcelo Crivellla;Brazilian politician and evangelical leader;;male;+1957-10-09T00:00:00Z;;nc
Q17146774;Giuseppe Sala;Sole Commissioner of the Government for Expo Milano 2015;;male;+1958-05-28T00:00:00Z;;nc
Q2588612;Naheed Nenshi;Mayor of Calgary;;male;+1972-02-02T00:00:00Z;;nc
Q1045675;Carsten Sieling;German politician, Mayor of Bremen;Carsten Sieling;male;+1959-01-13T00:00:00Z;;nc
Q35121341;Mohammed Adjei Sowah;mayor of city of Accra;;male;;;nc
Q57892;Peter O'Neill;Papua New Guinean politician;Peter Charles Paire O'Neill;male;+1965-02-13T00:00:00Z;;nc
Q57894;Jaber Al-Mubarak Al-Hamad Al-Sabah;Prime Minister of Kuwait;;male;+1942-01-05T00:00:00Z;;nc
Q3595385;Pinarayi Vijayan;Indian politician;;male;+1944-03-21T00:00:00Z;;nc
Q196070;Uhuru Kenyatta;Kenyan politician;Uhuru Kenyatta;male;+1961-10-26T00:00:00Z;;nc
Q3401447;Pravind Jugnauth;Mauritian politician;;male;+1961-12-25T00:00:00Z;;nc
Q78205;Armin Laschet;German politician;Armin Laschet;male;+1961-02-18T00:00:00Z;;nc
Q703503;Leoluca Orlando;Italian politician;Leoluca Orlando;male;+1947-08-01T00:00:00Z;;nc
Q306;Sebastian Piñera;35th & 37th President of Chile;Miguel Juan Sebastián Piñera Echenique;male;+1949-12-01T00:00:00Z;;nc
Q23016975;Eric Holcomb;American politician;Eric Holcomb;male;+1968-05-02T00:00:00Z;;nc
Q57701;Dean Barrow;Belizean politician;Dean Oliver Barrow;male;+1951-03-02T00:00:00Z;;nc
Q27982663;Josep Piferrer Puig;;;male;+1958-03-19T00:00:00Z;;nc
Q14914110;Thorsten Semrau;German politician;;male;+1956-03-15T00:00:00Z;;nc
