human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD
Q299015;Austrian Academy of Sciences;;Austrian Academy of Sciences;;;
Q235291;Jung Chang;writer from China;Jung Chang;female;+1952-03-25T00:00:00Z;
Q193111;Mika Waltari;Finnish author;Mika Toimi Waltari;male;+1908-09-19T00:00:00Z;+1979-08-26T00:00:00Z
Q5682;Miguel de Cervantes;Spanish novelist, poet, and playwright;Miguel de Cervantes y Saavedra;male;+1547-09-29T00:00:00Z;+1616-04-22T00:00:00Z
Q732338;Rohinton Mistry;Canadian writer;Rohinton Mistry;male;+1952-07-03T00:00:00Z;
Q310800;John Reed;American journalist, poet, and communist activist;John Reed;male;+1887-10-22T00:00:00Z;+1920-10-17T00:00:00Z
Q42511;H. G. Wells;English writer;Herbert George Wells;male;+1866-09-21T00:00:00Z;+1946-08-13T00:00:00Z
Q62892;Uwe Tellkamp;German writer and physician;Uwe Tellkamp;male;+1968-10-28T00:00:00Z;
Q173540;Margaret Mitchell;American author and journalist;Margaret Munnerlyn Mitchell;female;+1900-11-08T00:00:00Z;+1949-08-16T00:00:00Z
Q449085;Dodie Smith;English novelist and playwright;Dodie Smith;female;+1896-05-03T00:00:00Z;+1990-11-24T00:00:00Z
Q562163;Michael Scott;Irish author and collector and editor of folklore;Michael Scott;male;+1959-09-28T00:00:00Z;
